Mean agg res stats

Work Time Stat.0  ; Total work time                         ; 110:28:41
Office Stat.3 ; Office change number                                  ; 0.00

Mean agg day res stats

Work Time Stat.0  ; Total work time                         ; 108:10:17
Work Time Stat.1  ; Effective weighted work time planned    ; 106:58:17
Work Time Stat.2  ; Initial available time                  ; 146:9:36
Work Time Stat.3  ; Remaining available time                ; 18:35:18
Work Time Stat.4  ; Supp time planned                       ; 0:0:0
Work Time Stat.5  ; Supp time allowed                       ; 0:0:0
Work Time Stat.6  ; Contract time                           ; 146:9:36
Work Time Stat.7  ; Assimilated work time                   ; 1:12:0
Work Time Stat.8  ; Planned leave time                      ; 0:0:0
Work Time Stat.9  ; Unplanned leave time                    ; 0:0:0
Work Time Stat.10 ; Leave time                              ; 19:24:0
Work Time Stat.11 ; Effective work time planned             ; 106:58:17
Work Time Stat.12 ; Start cumulated supp time              ; 0:0:0
Work Time Stat.13 ; End cumulated supp time                ; -18:-35:-18

Pref Weekend.0 ; In weekend count                           ; 0.37
Pref Weekend.1 ; Off weekend count                          ; 1.71
Pref Weekend.2 ; Cut weekend count                          ; 1.77
Pref Weekend.3 ; Worked weekend count                       ; 2.14
Pref Weekend.4 ; Worked Sunday count                        ; 1.26
Pref Weekend.5 ; Off Sunday count                           ; 2.74
Pref Weekend.6 ; Weekend off around planned leave           ; 58%
Pref Weekend.7 ; Total weekend around planned leave count   ; 0.69
Pref Weekend.8 ; Off weekend around planned leave count     ; 0.40

Work Period Stat.1.1 ; Work periods number                  ; 5.51
Work Period Stat.1.2 ; Work period min length               ; 0.00
Work Period Stat.1.3 ; Work period max length               ; 0.11
Work Period Stat.1.4 ; Work period mean length              ; 1.65
Work Period Stat.2.1 ; Day work periods number              ; 3.74
Work Period Stat.2.2 ; Day work period min length           ; 0.00
Work Period Stat.2.3 ; Day work period max length           ; 0.11
Work Period Stat.2.4 ; Day work period mean length          ; 1.65
Work Period Stat.3.1 ; Night work periods number            ; 1.77
Work Period Stat.3.2 ; Night work period min length         ; 0.00
Work Period Stat.3.3 ; Night work period max length         ; 0.11
Work Period Stat.3.4 ; Night work period mean length        ; 1.65
Work Period Stat.4.1 ; Night activity number                ; 2.91
Work Period Stat.4.2 ; Day activity number                  ; 6.17
Work Period Stat.4.3 ; Total activity number                ; 9.09
Work Period Stat.4.4 ; Isolated activity number             ; 3.11

Rest Period Stat.0 ; Periods number                         ; 6.09
Rest Period Stat.1 ; Min length                             ; 0.00
Rest Period Stat.2 ; Max length                             ; 0.20
Rest Period Stat.3 ; Mean length                            ; 2.89
Rest Period Stat.4 ; Rest number                            ; 17.60
Rest Period Stat.5 ; Isolated rest period nb                ; 0.69

Activity Stat.0  ; Activity preference score                ; 0.00
Activity Stat.1  ; Effective work activity number           ; 8.91
Activity Stat.2  ; Assimilated work activity number         ; 0.17
Activity Stat.3  ; Different activity number                ; 1.69
Activity Stat.4  ; Planned leave number                     ; 2.09
Activity Stat.5  ; Unplanned leave number                   ; 1.23
Activity Stat.6  ; Leave number                             ; 3.31
Activity Stat.7  ; Activity change number                   ; 0.00
Activity Stat.8  ; Activity 'CA' occurrence nb              ; 2.09
Activity Stat.8  ; Activity 'CLD' occurrence nb              ; 1.23
Activity Stat.8  ; Activity 'RH' occurrence nb              ; 17.60
Activity Stat.8  ; Activity 'TSY' occurrence nb              ; 0.17
Activity Stat.8  ; Activity 'ZA' occurrence nb              ; 6.00
Activity Stat.8  ; Activity 'ZB' occurrence nb              ; 2.91

Office Stat.0 ; Different office nb                                   ; 0.97
Office Stat.1 ; Office 'soins' occurrence nb        ; 8.91
Office Stat.3 ; Office change number                                  ; 0.00

Mean agg night res stats

Work Time Stat.0  ; Total work time                         ; 117:49:5
Work Time Stat.1  ; Effective weighted work time planned    ; 117:49:5
Work Time Stat.2  ; Initial available time                  ; 147:0:0
Work Time Stat.3  ; Remaining available time                ; 5:38:10
Work Time Stat.4  ; Supp time planned                       ; 0:0:0
Work Time Stat.5  ; Supp time allowed                       ; 0:0:0
Work Time Stat.6  ; Contract time                           ; 147:0:0
Work Time Stat.7  ; Assimilated work time                   ; 0:0:0
Work Time Stat.8  ; Planned leave time                      ; 0:0:0
Work Time Stat.9  ; Unplanned leave time                    ; 0:0:0
Work Time Stat.10 ; Leave time                              ; 23:32:43
Work Time Stat.11 ; Effective work time planned             ; 117:49:5
Work Time Stat.12 ; Start cumulated supp time              ; 0:0:0
Work Time Stat.13 ; End cumulated supp time                ; -5:-38:-10

Pref Weekend.0 ; In weekend count                           ; 0.45
Pref Weekend.1 ; Off weekend count                          ; 1.55
Pref Weekend.2 ; Cut weekend count                          ; 1.27
Pref Weekend.3 ; Worked weekend count                       ; 1.73
Pref Weekend.4 ; Worked Sunday count                        ; 1.09
Pref Weekend.5 ; Off Sunday count                           ; 2.91
Pref Weekend.6 ; Weekend off around planned leave           ; 50%
Pref Weekend.7 ; Total weekend around planned leave count   ; 0.55
Pref Weekend.8 ; Off weekend around planned leave count     ; 0.27

Work Period Stat.1.1 ; Work periods number                  ; 4.18
Work Period Stat.1.2 ; Work period min length               ; 0.00
Work Period Stat.1.3 ; Work period max length               ; 0.36
Work Period Stat.1.4 ; Work period mean length              ; 2.35
Work Period Stat.2.1 ; Day work periods number              ; 0.00
Work Period Stat.2.2 ; Day work period min length           ; 0.00
Work Period Stat.2.3 ; Day work period max length           ; 0.00
Work Period Stat.2.4 ; Day work period mean length          ; 0.00
Work Period Stat.3.1 ; Night work periods number            ; 4.18
Work Period Stat.3.2 ; Night work period min length         ; 0.00
Work Period Stat.3.3 ; Night work period max length         ; 0.36
Work Period Stat.3.4 ; Night work period mean length        ; 2.35
Work Period Stat.4.1 ; Night activity number                ; 9.82
Work Period Stat.4.2 ; Day activity number                  ; 0.00
Work Period Stat.4.3 ; Total activity number                ; 9.82
Work Period Stat.4.4 ; Isolated activity number             ; 1.36

Rest Period Stat.0 ; Periods number                         ; 4.64
Rest Period Stat.1 ; Min length                             ; 0.00
Rest Period Stat.2 ; Max length                             ; 0.82
Rest Period Stat.3 ; Mean length                            ; 3.47
Rest Period Stat.4 ; Rest number                            ; 16.09
Rest Period Stat.5 ; Isolated rest period nb                ; 0.55

Activity Stat.0  ; Activity preference score                ; 0.00
Activity Stat.1  ; Effective work activity number           ; 9.82
Activity Stat.2  ; Assimilated work activity number         ; 0.00
Activity Stat.3  ; Different activity number                ; 1.00
Activity Stat.4  ; Planned leave number                     ; 1.73
Activity Stat.5  ; Unplanned leave number                   ; 2.36
Activity Stat.6  ; Leave number                             ; 4.09
Activity Stat.7  ; Activity change number                   ; 0.00
Activity Stat.8  ; Activity 'CA' occurrence nb              ; 1.73
Activity Stat.8  ; Activity 'CLD' occurrence nb              ; 2.36
Activity Stat.8  ; Activity 'RH' occurrence nb              ; 16.09
Activity Stat.8  ; Activity 'ZB' occurrence nb              ; 9.82

Office Stat.0 ; Different office nb                                   ; 1.00
Office Stat.1 ; Office 'soins' occurrence nb        ; 9.82
Office Stat.3 ; Office change number                                  ; 0.00

