No Agent;;01/04/2025;02/04/2025;03/04/2025;04/04/2025;05/04/2025;06/04/2025;07/04/2025;08/04/2025;09/04/2025;10/04/2025;11/04/2025;12/04/2025;13/04/2025;14/04/2025;15/04/2025;16/04/2025;17/04/2025;18/04/2025;19/04/2025;20/04/2025;21/04/2025;22/04/2025;23/04/2025;24/04/2025;25/04/2025;26/04/2025;27/04/2025;28/04/2025;29/04/2025;30/04/2025;Statistiques de temps de travail;Temps de travail effectif pondéré planifié;Temps dispo (heures supp, congés, travail assimilé pris en compte);Temps disponible restant;Temps supplémentaire planifié;Temps supplémentaire autorisé;Temps contractuel;Temps de travail assimilé;Temps d'absence pour congés;Temps de travail effectif planifié
13;;RH;ZB;RH;RH;RH;ZA;CA;CA;CA;CA;CA;RH;RH;RH;ZA;RH;RH;RH;ZB;RH;RH;RH;ZA;RH;RH;ZA;RH;RH;ZA;RH;;84:00:00;89:36:00;05:36:00;00:00:00;00:00:00;117:36:00;00:00:00;28:00:00;84:00:00
14;;ZA;RH;RH;RH;ZB;ZB;ZB;RH;RH;RH;CA;ZB;RH;RH;RH;RH;RH;RH;RH;ZA;RH;RH;RH;RH;RH;ZA;RH;RH;RH;RH;;84:00:00;140:00:00;56:00:00;00:00:00;00:00:00;147:00:00;00:00:00;07:00:00;84:00:00
15;;CA;CA;CA;CA;RH;ZA;RH;RH;RH;ZB;RH;RH;RH;RH;ZA;RH;RH;RH;ZB;ZB;RH;RH;RH;ZB;ZB;ZB;RH;RH;RH;ZB;;108:00:00;119:00:00;11:00:00;00:00:00;00:00:00;147:00:00;00:00:00;28:00:00;108:00:00
16;;CA;CA;CA;CA;RH;ZB;ZB;RH;RH;RH;RH;RH;RH;ZB;ZB;ZB;RH;RH;RH;ZB;RH;RH;RH;ZB;RH;RH;RH;RH;ZB;ZB;;108:00:00;119:00:00;11:00:00;00:00:00;00:00:00;147:00:00;00:00:00;28:00:00;108:00:00
17;;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;RH;RH;ZB;ZB;ZB;RH;RH;RH;RH;ZB;RH;RH;RH;RH;RH;RH;ZB;;60:00:00;84:00:00;24:00:00;00:00:00;00:00:00;147:00:00;00:00:00;63:00:00;60:00:00
18;;RH;RH;ZA;ZA;RH;RH;ZB;ZB;RH;RH;RH;ZA;RH;RH;RH;RH;ZB;RH;RH;RH;ZB;RH;RH;RH;RH;RH;ZA;RH;RH;ZA;;108:00:00;147:00:00;39:00:00;00:00:00;00:00:00;147:00:00;00:00:00;00:00:00;108:00:00
19;;ZB;ZB;ZB;ZB;RH;RH;RH;RH;RH;RH;ZB;ZB;ZB;ZB;RH;RH;RH;ZB;RH;RH;RH;ZB;RH;RH;RH;RH;ZB;ZB;RH;RH;;144:00:00;147:00:00;03:00:00;00:00:00;00:00:00;147:00:00;00:00:00;00:00:00;144:00:00
20;;RH;RH;ZA;ZA;RH;RH;RH;ZB;RH;RH;RH;ZA;RH;RH;RH;RH;ZB;RH;RH;RH;ZB;ZB;RH;RH;RH;RH;ZB;RH;RH;RH;;96:00:00;147:00:00;51:00:00;00:00:00;00:00:00;147:00:00;00:00:00;00:00:00;96:00:00
21;;CA;CA;CA;CA;ZA;RH;RH;ZA;RH;RH;ZB;ZB;RH;RH;RH;RH;RH;RH;RH;ZB;ZB;RH;RH;RH;RH;RH;ZA;RH;RH;RH;;84:00:00;119:00:00;35:00:00;00:00:00;00:00:00;147:00:00;00:00:00;28:00:00;84:00:00
22;;CA;CA;CA;CA;RH;RH;CA;CA;CA;CA;CA;RH;RH;RH;ZB;ZB;RH;RH;RH;RH;ZB;ZB;RH;RH;RH;ZA;ZA;RH;RH;ZA;;84:00:00;84:00:00;00:00:00;00:00:00;00:00:00;147:00:00;00:00:00;63:00:00;84:00:00
23;;RH;ZA;ZA;RH;RH;ZA;CA;CA;CA;CA;CA;RH;RH;RH;ZA;ZA;RH;RH;RH;ZA;RH;RH;ZA;ZA;RH;RH;ZA;RH;RH;RH;;108:00:00;112:00:00;04:00:00;00:00:00;00:00:00;147:00:00;00:00:00;35:00:00;108:00:00
24;;RH;ZA;RH;RH;ZB;RH;CA;CA;CA;CA;CA;RH;RH;ZB;ZB;ZB;RH;RH;RH;ZA;RH;RH;ZA;RH;RH;ZB;RH;RH;RH;ZA;;108:00:00;112:00:00;04:00:00;00:00:00;00:00:00;147:00:00;00:00:00;35:00:00;108:00:00
25;;RH;ZA;RH;RH;RH;ZB;RH;RH;RH;RH;ZA;ZA;RH;RH;RH;ZB;RH;RH;RH;RH;RH;RH;RH;ZA;ZA;ZA;RH;RH;ZB;RH;;108:00:00;147:00:00;39:00:00;00:00:00;00:00:00;147:00:00;00:00:00;00:00:00;108:00:00
26;;RH;RH;RH;RH;RH;ZA;ZA;ZA;ZA;RH;RH;RH;ZA;ZA;RH;RH;RH;RH;ZA;ZA;CA;CA;CA;CA;CA;RH;RH;ZA;RH;RH;;108:00:00;119:00:00;11:00:00;00:00:00;00:00:00;147:00:00;00:00:00;28:00:00;108:00:00
27;;RH;RH;RH;ZA;ZA;RH;RH;RH;ZB;RH;RH;RH;ZB;RH;RH;RH;ZA;ZA;ZA;RH;CA;CA;CA;CA;CA;RH;RH;RH;ZA;ZA;;108:00:00;119:00:00;11:00:00;00:00:00;00:00:00;147:00:00;00:00:00;28:00:00;108:00:00
28;;RH;RH;RH;RH;RH;ZA;ZA;ZA;ZA;RH;RH;RH;ZA;RH;RH;ZA;RH;RH;ZA;RH;CA;CA;CA;CA;CA;RH;RH;ZA;ZA;RH;;108:00:00;119:00:00;11:00:00;00:00:00;00:00:00;147:00:00;00:00:00;28:00:00;108:00:00
29;;ZA;ZA;RH;RH;RH;RH;ZB;ZB;RH;RH;RH;RH;ZA;RH;RH;RH;RH;RH;RH;ZA;ZA;ZA;RH;RH;RH;ZB;ZB;ZB;ZB;RH;;144:00:00;147:00:00;03:00:00;00:00:00;00:00:00;147:00:00;00:00:00;00:00:00;144:00:00
30;;RH;ZA;RH;RH;RH;RH;RH;ZB;ZB;RH;RH;RH;ZA;RH;RH;ZA;RH;RH;ZA;RH;RH;ZA;ZA;RH;RH;RH;ZA;RH;RH;RH;;108:00:00;147:00:00;39:00:00;00:00:00;00:00:00;147:00:00;00:00:00;00:00:00;108:00:00
31;;RH;RH;ZA;RH;RH;RH;ZA;RH;RH;RH;RH;RH;ZA;RH;RH;RH;ZB;RH;RH;RH;RH;RH;RH;ZA;RH;RH;ZB;ZB;RH;RH;;84:00:00;147:00:00;63:00:00;00:00:00;00:00:00;147:00:00;00:00:00;00:00:00;84:00:00
32;;RH;RH;ZB;ZB;ZB;RH;RH;RH;RH;RH;RH;RH;RH;RH;ZB;ZB;ZB;RH;RH;RH;ZB;ZB;ZB;RH;RH;RH;RH;ZB;ZB;ZB;;144:00:00;147:00:00;03:00:00;00:00:00;00:00:00;147:00:00;00:00:00;00:00:00;144:00:00
33;;ZA;RH;RH;RH;RH;RH;ZA;RH;RH;ZB;RH;RH;RH;ZA;ZA;ZA;ZA;RH;RH;RH;ZB;RH;RH;RH;RH;ZB;ZB;ZB;ZB;RH;;144:00:00;147:00:00;03:00:00;00:00:00;00:00:00;147:00:00;00:00:00;00:00:00;144:00:00
34;;TSY;TSY;TSY;TSY;RH;RH;TSY;TSY;ZA;RH;RH;ZA;RH;RH;ZA;ZA;RH;RH;RH;RH;ZA;ZA;ZA;RH;RH;RH;ZA;RH;RH;RH;;96:00:00;105:00:00;09:00:00;00:00:00;00:00:00;147:00:00;42:00:00;00:00:00;96:00:00
35;;RH;RH;RH;ZA;RH;RH;ZA;ZA;RH;RH;RH;RH;RH;ZA;ZA;RH;RH;ZA;ZA;RH;RH;RH;ZA;ZA;ZA;RH;RH;RH;ZB;RH;;132:00:00;147:00:00;15:00:00;00:00:00;00:00:00;147:00:00;00:00:00;00:00:00;132:00:00
36;;CLD;CLD;CLD;CLD;RH;ZB;ZB;RH;RH;RH;RH;ZB;ZB;ZB;RH;RH;RH;RH;RH;RH;RH;ZB;ZB;ZB;RH;RH;RH;RH;RH;ZB;;108:00:00;119:00:00;11:00:00;00:00:00;00:00:00;147:00:00;00:00:00;28:00:00;108:00:00
37;;RH;ZA;RH;RH;RH;RH;RH;RH;ZA;ZA;RH;RH;RH;ZA;RH;RH;ZA;ZA;RH;RH;RH;ZB;ZB;RH;RH;RH;RH;ZA;ZA;ZA;;132:00:00;147:00:00;15:00:00;00:00:00;00:00:00;147:00:00;00:00:00;00:00:00;132:00:00
38;;RH;ZB;ZB;ZB;ZB;RH;RH;RH;ZB;RH;RH;RH;ZB;ZB;RH;RH;RH;RH;RH;RH;RH;RH;ZB;ZB;ZB;ZB;RH;RH;RH;ZB;;144:00:00;147:00:00;03:00:00;00:00:00;00:00:00;147:00:00;00:00:00;00:00:00;144:00:00
39;;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;147:00:00;00:00:00;147:00:00;00:00:00
40;;ZA;RH;RH;RH;ZA;ZA;RH;RH;RH;ZA;ZA;RH;RH;ZA;RH;RH;ZA;ZA;RH;RH;ZA;RH;RH;ZA;ZA;RH;RH;ZA;RH;RH;;144:00:00;147:00:00;03:00:00;00:00:00;00:00:00;147:00:00;00:00:00;00:00:00;144:00:00
41;;RH;RH;ZA;ZA;ZA;RH;RH;RH;ZA;ZA;ZA;RH;RH;RH;RH;ZA;ZA;RH;RH;ZA;ZA;RH;RH;ZB;ZB;RH;RH;RH;RH;RH;;144:00:00;147:00:00;03:00:00;00:00:00;00:00:00;147:00:00;00:00:00;00:00:00;144:00:00
42;;ZA;RH;RH;RH;RH;RH;ZA;RH;RH;ZA;ZA;RH;RH;ZA;RH;RH;ZA;ZA;RH;RH;ZA;ZA;RH;RH;ZA;RH;RH;ZA;ZA;RH;;144:00:00;147:00:00;03:00:00;00:00:00;00:00:00;147:00:00;00:00:00;00:00:00;144:00:00
43;;ZB;ZB;ZB;RH;RH;RH;ZB;ZB;ZB;ZB;RH;RH;RH;RH;RH;ZB;ZB;ZB;ZB;RH;RH;RH;RH;RH;ZB;RH;RH;RH;RH;RH;;144:00:00;147:00:00;03:00:00;00:00:00;00:00:00;147:00:00;00:00:00;00:00:00;144:00:00
44;;RH;RH;ZB;ZB;RH;RH;RH;RH;ZA;ZA;ZA;ZA;RH;RH;RH;ZA;RH;RH;RH;ZB;ZB;RH;RH;RH;ZA;RH;RH;ZA;ZA;RH;;144:00:00;147:00:00;03:00:00;00:00:00;00:00:00;147:00:00;00:00:00;00:00:00;144:00:00
45;;ZA;RH;RH;RH;RH;RH;RH;ZA;ZA;ZA;ZA;RH;RH;RH;RH;RH;ZA;ZA;RH;RH;ZA;RH;RH;ZA;ZA;ZA;RH;RH;ZA;RH;;144:00:00;147:00:00;03:00:00;00:00:00;00:00:00;147:00:00;00:00:00;00:00:00;144:00:00
46;;RH;RH;ZA;ZA;ZA;RH;RH;RH;RH;ZA;ZA;ZA;ZA;RH;RH;RH;RH;RH;RH;RH;ZA;ZA;ZA;ZA;RH;RH;RH;ZA;RH;RH;;144:00:00;147:00:00;03:00:00;00:00:00;00:00:00;147:00:00;00:00:00;00:00:00;144:00:00

0_ZA_0 (210/210);(0 manquants);7/7;7/7;7/7;7/7;7/7;7/7;7/7;7/7;7/7;7/7;7/7;7/7;7/7;7/7;7/7;7/7;7/7;7/7;7/7;7/7;7/7;7/7;7/7;7/7;7/7;7/7;7/7;7/7;7/7;7/7
1_ZB_0 (210/210);(0 manquants);7/7;7/7;7/7;7/7;7/7;7/7;7/7;7/7;7/7;7/7;7/7;7/7;7/7;7/7;7/7;7/7;7/7;7/7;7/7;7/7;7/7;7/7;7/7;7/7;7/7;7/7;7/7;7/7;7/7;7/7
